api,per_page,elapsed_time,body_size
graphql,5,0.975343,28708
rest,5,0.567529,119856
graphql,25,3.833929,139236
rest,25,1.196043,573760
graphql,5,1.047101,28708
rest,5,0.617248,119856
graphql,25,2.710816,139236
rest,25,1.161367,573760
graphql,5,0.925102,28708
rest,5,0.581085,119856
graphql,25,2.775832,139236
rest,25,1.23521,573760
graphql,5,1.100543,28708
rest,5,0.55534,119856
graphql,25,2.846505,139236
rest,25,1.163162,573760
graphql,5,1.334168,28708
rest,5,0.535785,119856
graphql,25,2.762767,139236
rest,25,1.168779,573760
graphql,5,1.009026,28708
rest,5,0.539571,119856
graphql,25,2.96787,139236
rest,25,0.960472,573760
graphql,5,0.972085,28708
rest,5,0.610957,119856
graphql,25,2.763115,139236
rest,25,1.223331,573760
graphql,5,1.095668,28708
rest,5,0.577486,119856
graphql,25,2.408752,139236
rest,25,1.202042,573760
graphql,5,0.895483,28708
rest,5,0.601371,119856
graphql,25,2.608268,139236
rest,25,1.203527,573760
graphql,5,0.902193,28708
rest,5,0.549036,119856
graphql,25,2.867283,139236
rest,25,1.154656,573760
graphql,5,0.914124,28708
rest,5,0.562971,119856
graphql,25,2.785195,139236
rest,25,1.023705,573760
graphql,5,1.089327,28708
rest,5,0.493089,119856
graphql,25,2.70872,139236
rest,25,1.231934,573760
graphql,5,1.00087,28708
rest,5,0.517048,119856
graphql,25,2.448664,139236
rest,25,1.042903,573760
graphql,5,0.921998,28708
rest,5,0.514902,119856
graphql,25,2.511593,139236
rest,25,1.217415,573760
graphql,5,0.98107,28708
rest,5,0.491367,119856
graphql,25,2.598607,139236
rest,25,0.914048,573760
graphql,5,0.948093,28708
rest,5,0.536927,119856
graphql,25,2.872121,139236
rest,25,1.368463,573760
graphql,5,0.929336,28708
rest,5,0.501427,119856
graphql,25,2.55167,139236
rest,25,1.180373,573760
graphql,5,0.947916,28708
rest,5,0.658165,119856
graphql,25,2.714693,139236
rest,25,1.156328,573760
graphql,5,1.060429,28708
rest,5,0.507545,119856
graphql,25,2.830696,139236
rest,25,1.018929,573760
graphql,5,1.013942,28708
rest,5,0.605821,119856
graphql,25,2.598566,139236
rest,25,1.236723,573760
graphql,5,1.060939,28708
rest,5,0.681277,119856
graphql,25,2.780115,139236
rest,25,1.280782,573760
graphql,5,0.973452,28708
rest,5,0.498539,119856
graphql,25,2.799971,139236
rest,25,1.075112,573760
graphql,5,1.079366,28708
rest,5,0.596855,119856
graphql,25,2.677146,139236
rest,25,1.243851,573756
graphql,5,0.930798,28708
rest,5,0.59122,117012
graphql,25,2.759676,139236
rest,25,1.140622,573760
graphql,5,0.958862,28708
rest,5,0.557485,119856
graphql,25,2.835771,139236
rest,25,1.285264,573760
graphql,5,1.212284,28708
rest,5,0.549653,119856
graphql,25,2.674915,139236
rest,25,1.234947,573760
graphql,5,0.92998,28708
rest,5,0.582685,119856
graphql,25,2.883763,139236
rest,25,1.139208,573760
graphql,5,0.972637,28708
rest,5,0.560207,119856
graphql,25,2.515719,139236
rest,25,1.102005,573760
graphql,5,1.039347,28708
rest,5,0.663085,119856
graphql,25,2.652986,139236
rest,25,1.170247,575504
graphql,5,0.994329,28708
rest,5,0.599865,119856
graphql,25,2.726567,139236
rest,25,1.063159,573760
graphql,5,0.981668,28708
rest,5,0.554107,119856
graphql,25,2.628785,139236
rest,25,1.269258,573760
graphql,5,0.830578,28708
rest,5,0.62143,119856
graphql,25,2.748155,139236
rest,25,1.124586,573760
graphql,5,0.951432,28708
rest,5,0.525413,119856
graphql,25,2.520624,139236
rest,25,1.119386,573760
graphql,5,0.865553,28708
rest,5,0.503863,119856
graphql,25,2.879974,139236
rest,25,1.176083,573760
graphql,5,1.19193,28708
rest,5,0.510313,119856
graphql,25,2.733199,139236
rest,25,1.100535,573760
graphql,5,0.955103,28708
rest,5,0.521941,119856
graphql,25,2.654379,139236
rest,25,1.180898,573760
graphql,5,1.080136,28708
rest,5,0.601526,119856
graphql,25,2.636844,139236
rest,25,1.235789,573760
graphql,5,0.970589,28708
rest,5,0.548523,119856
graphql,25,2.84619,139236
rest,25,1.240108,573760
graphql,5,1.139808,28708
rest,5,0.526031,119856
graphql,25,2.635948,139236
rest,25,1.091435,573760
graphql,5,0.912196,28708
rest,5,0.534105,119856
graphql,25,2.521826,139236
rest,25,1.060495,573760
graphql,5,0.980871,28708
rest,5,0.543381,119856
graphql,25,2.74794,139236
rest,25,1.128286,573760
graphql,5,0.876805,28708
rest,5,0.608436,119856
graphql,25,2.594871,139236
rest,25,1.206881,573760
graphql,5,0.879509,28708
rest,5,0.553934,119856
graphql,25,2.589483,139236
rest,25,1.109273,575580
graphql,5,1.064366,28708
rest,5,0.573992,119856
graphql,25,2.72921,139236
rest,25,1.283274,573760
graphql,5,1.392884,28708
rest,5,0.592178,119856
graphql,25,2.739164,139236
rest,25,1.180179,573760
graphql,5,0.944009,28708
rest,5,0.529964,119856
graphql,25,2.603288,139236
rest,25,1.143372,573760
graphql,5,0.944711,28708
rest,5,0.539742,119856
graphql,25,2.483146,139236
rest,25,1.225929,573760
graphql,5,0.940483,28708
rest,5,0.513286,119856
graphql,25,2.715022,139236
rest,25,1.17763,573760
graphql,5,0.943828,28708
rest,5,0.506201,119856
graphql,25,2.634513,139236
rest,25,1.171749,573760
graphql,5,0.852016,28708
rest,5,0.491709,119856
graphql,25,2.718115,139236
rest,25,1.204075,573760
graphql,5,1.002131,28708
rest,5,0.484971,119856
graphql,25,2.544305,139236
rest,25,1.130816,573760
graphql,5,0.867675,28708
rest,5,0.619398,119856
graphql,25,2.586558,139236
rest,25,1.203207,573760
graphql,5,0.980807,28708
rest,5,0.567618,119856
graphql,25,2.71811,139236
rest,25,1.1781,573760
graphql,5,0.90997,28708
rest,5,0.46559,119856
graphql,25,2.671205,139236
rest,25,1.296447,573760
graphql,5,0.927539,28708
rest,5,0.490988,119856
graphql,25,2.625062,139236
rest,25,1.114059,573760
graphql,5,0.870817,28708
rest,5,0.46715,119856
graphql,25,2.764703,139236
rest,25,1.110452,573760
graphql,5,0.841012,28708
rest,5,0.528849,119856
graphql,25,2.535231,139236
rest,25,1.141075,573760
graphql,5,0.94777,28708
rest,5,0.520115,119856
graphql,25,4.432627,139236
rest,25,1.255693,573760
graphql,5,0.99069,28708
rest,5,0.591427,119856
graphql,25,2.788433,139236
rest,25,1.306495,573760
graphql,5,0.911659,28708
rest,5,0.685065,119856
graphql,25,2.662729,139236
rest,25,1.243349,573760
graphql,5,0.891488,28708
rest,5,0.633925,119856
graphql,25,2.427905,139236
rest,25,1.117785,573760
graphql,5,0.912809,28708
rest,5,0.655368,119856
graphql,25,2.700884,139236
rest,25,1.132906,573760
graphql,5,0.929817,28708
rest,5,0.533363,119856
graphql,25,2.786856,139236
rest,25,1.199334,573760
graphql,5,0.861056,28708
rest,5,0.522854,119856
graphql,25,2.58021,139236
rest,25,1.078791,573760
graphql,5,0.94441,28708
rest,5,0.500929,119856
graphql,25,2.542091,139236
rest,25,1.103437,573760
graphql,5,0.9878,28708
rest,5,0.474225,119856
graphql,25,3.724027,139236
rest,25,1.237157,573760
graphql,5,0.974695,28708
rest,5,0.497051,119856
graphql,25,2.745658,139236
rest,25,1.174137,573760
graphql,5,1.016327,28708
rest,5,0.501034,119856
graphql,25,2.541281,139236
rest,25,1.167341,573760
graphql,5,0.880024,28708
rest,5,0.50233,119856
graphql,25,2.821072,139236
rest,25,1.083756,573760
graphql,5,0.908397,28708
rest,5,0.584107,119856
graphql,25,2.678984,139236
rest,25,1.275928,573760
graphql,5,0.970203,28708
rest,5,0.522928,119856
graphql,25,2.758109,139236
rest,25,1.185029,573760
graphql,5,0.972143,28708
rest,5,0.567827,119856
graphql,25,4.656771,139236
rest,25,1.162111,573760
graphql,5,0.91339,28708
rest,5,0.532521,119856
graphql,25,2.650854,139236
rest,25,1.07204,573760
graphql,5,1.01246,28708
rest,5,0.544748,117340
graphql,25,2.583149,139236
rest,25,1.341362,573760
graphql,5,0.936866,28708
rest,5,0.523126,119856
graphql,25,2.695145,139236
rest,25,1.166779,573760
graphql,5,1.012372,28708
rest,5,0.509602,119856
graphql,25,2.666527,139236
rest,25,1.235409,573760
graphql,5,1.155995,28708
rest,5,0.515127,119856
graphql,25,2.632562,139236
rest,25,1.278793,573760
graphql,5,0.903765,28708
rest,5,0.568001,119856
graphql,25,2.314892,139236
rest,25,1.07994,573760
graphql,5,0.914294,28708
rest,5,0.600147,119856
graphql,25,2.503997,139236
rest,25,1.18678,573760
graphql,5,0.887623,28708
rest,5,0.480203,119856
graphql,25,2.755709,139236
rest,25,1.06224,573760
graphql,5,0.876376,28708
rest,5,0.636103,119856
graphql,25,2.544943,139236
rest,25,1.095091,573760
graphql,5,1.095808,28708
rest,5,0.556188,119856
graphql,25,2.737875,139236
rest,25,1.039365,573760
graphql,5,1.058726,28708
rest,5,0.552783,119856
graphql,25,2.729337,139236
rest,25,1.062322,573760
graphql,5,0.859979,28708
rest,5,0.491891,119856
graphql,25,2.566821,139236
rest,25,1.17008,573760
graphql,5,0.983411,28708
rest,5,0.470737,119856
graphql,25,3.683213,139236
rest,25,1.113094,573760
graphql,5,1.127466,28708
rest,5,0.491284,119856
graphql,25,2.694982,139236
rest,25,1.216947,573760
graphql,5,0.92413,28708
rest,5,0.482654,119856
graphql,25,2.774567,139236
rest,25,1.189713,573760
graphql,5,1.046304,28708
rest,5,0.621699,119856
graphql,25,2.461326,139236
rest,25,1.239608,573760
graphql,5,0.95351,28708
rest,5,0.513762,119856
graphql,25,2.573237,139236
rest,25,1.181231,573760
graphql,5,1.00146,28708
rest,5,0.525834,119856
graphql,25,2.834445,137676
rest,25,1.234577,573760
graphql,5,1.034414,28708
rest,5,0.617971,119856
graphql,25,3.865624,139236
rest,25,1.40701,573760
graphql,5,2.797171,28708
rest,5,0.481566,119856
graphql,25,2.778441,139236
rest,25,1.147709,573760
graphql,5,0.957898,28708
rest,5,0.564236,119856
graphql,25,2.790097,139236
rest,25,1.106826,573760
graphql,5,0.925874,28708
rest,5,0.592527,119856
graphql,25,4.542801,139236
rest,25,1.076981,573760
graphql,5,0.891404,28708
rest,5,0.500702,119856
graphql,25,2.739043,139236
rest,25,1.248328,573760
graphql,5,0.976881,28708
rest,5,0.601771,119856
graphql,25,2.552423,139236
rest,25,1.160565,573760
graphql,5,0.941595,28708
rest,5,0.525508,119856
graphql,25,2.606501,139236
rest,25,1.15971,573760
graphql,5,0.885852,28708
rest,5,0.502801,119856
graphql,25,2.541228,139236
rest,25,1.219362,573760
graphql,5,0.949636,28708
rest,5,0.568332,119856
graphql,25,2.489587,139236
rest,25,1.175354,573760
graphql,5,1.011004,28708
rest,5,0.523189,119856
graphql,25,3.964375,139236
rest,25,1.173975,573760
graphql,5,0.899782,28708
rest,5,0.630437,119856
graphql,25,2.667065,139236
rest,25,1.240285,573760
graphql,5,2.515333,28708
rest,5,0.566453,119856
graphql,25,2.687966,139236
rest,25,1.07932,573760
graphql,5,0.863189,28708
rest,5,0.502518,119856
graphql,25,2.738804,139236
rest,25,1.145356,573760
graphql,5,0.887528,28708
rest,5,0.52607,119856
graphql,25,2.722082,139236
rest,25,1.112897,573760
graphql,5,0.953057,28708
rest,5,0.533608,119856
graphql,25,2.826962,139236
rest,25,1.075205,573760
graphql,5,1.008781,28708
rest,5,0.517219,119856
graphql,25,2.615431,139236
rest,25,1.122054,573760
graphql,5,1.011359,28708
rest,5,0.572045,119856
graphql,25,2.727303,139236
rest,25,1.171948,573760
graphql,5,0.869628,28708
rest,5,0.488,119856
graphql,25,2.661518,139236
rest,25,1.115803,573760
graphql,5,0.882874,28708
rest,5,0.565572,119856
graphql,25,2.763866,139236
rest,25,1.05738,573760
graphql,5,0.98678,28708
rest,5,0.652724,119856
graphql,25,2.750074,139236
rest,25,1.048922,573760
graphql,5,0.804476,28708
rest,5,0.548493,119856
graphql,25,2.575892,139236
rest,25,1.036407,573760
graphql,5,0.89694,28708
rest,5,0.537554,119856
graphql,25,2.619891,139236
rest,25,1.354606,573760
graphql,5,0.986838,28708
rest,5,0.71248,119856
graphql,25,2.471833,139236
rest,25,1.217278,573760
graphql,5,1.372958,28708
rest,5,0.477215,119856
graphql,25,2.812905,139236
rest,25,1.132545,573760
graphql,5,0.874069,28708
rest,5,0.479697,119856
graphql,25,2.636328,139236
rest,25,1.139142,571764
graphql,5,1.015467,28708
rest,5,0.582169,119856
graphql,25,2.535245,139236
rest,25,1.113499,573760
graphql,5,0.880187,28708
rest,5,1.481826,119856
graphql,25,2.648039,139236
rest,25,1.16854,573760
graphql,5,0.897511,28708
rest,5,0.471066,119856
graphql,25,2.543404,139236
rest,25,1.032912,573760
graphql,5,1.074758,28708
rest,5,0.540156,119856
graphql,25,2.371277,139236
rest,25,1.137439,573760
graphql,5,0.932012,28708
rest,5,0.487886,119856
graphql,25,2.726892,139236
rest,25,1.109614,573760
graphql,5,0.907301,28708
rest,5,0.56462,119856
graphql,25,2.379388,139236
rest,25,1.220088,573760
graphql,5,1.02714,28708
rest,5,0.604202,119856
graphql,25,2.684135,139236
rest,25,1.022473,573760
graphql,5,0.992157,28708
rest,5,0.580682,119856
graphql,25,2.768123,139236
rest,25,1.114787,573760
graphql,5,1.029561,28708
rest,5,0.537702,119856
graphql,25,2.809901,139236
rest,25,1.083115,573760
graphql,5,0.971602,28708
rest,5,0.677097,119856
graphql,25,2.860383,139236
rest,25,1.111612,573760
graphql,5,0.972309,28708
rest,5,0.574418,119856
graphql,25,2.761685,139236
rest,25,1.140552,573760
graphql,5,1.088617,28708
rest,5,0.537685,119856
graphql,25,2.516437,139236
rest,25,1.117301,573760
graphql,5,0.858388,28708
rest,5,0.596757,119856
graphql,25,2.765857,139236
rest,25,1.077575,573760
graphql,5,0.978609,28708
rest,5,0.510206,119856
graphql,25,3.234061,139236
rest,25,1.175824,573760
graphql,5,0.879007,28708
rest,5,0.643823,119856
graphql,25,2.398596,139236
rest,25,1.149359,573760
graphql,5,0.919198,28708
rest,5,0.51204,119856
graphql,25,2.538854,139236
rest,25,1.169174,573760
graphql,5,0.891687,28708
rest,5,0.509776,119856
graphql,25,2.40814,139236
rest,25,1.158233,573760
graphql,5,1.006497,28708
